Date,Seasonally Adjusted CPI Index,Annual CPI,Monthly CPI
1/03/2012,89.8,NA,NA
1/04/2012,NA,NA,0.19%
1/05/2012,NA,NA,0.19%
1/06/2012,90.3,NA,0.19%
1/07/2012,NA,NA,0.37%
1/08/2012,NA,NA,0.37%
1/09/2012,91.3,NA,0.37%
1/10/2012,NA,NA,0.11%
1/11/2012,NA,NA,0.11%
1/12/2012,91.6,NA,0.11%
1/01/2013,NA,NA,0.15%
1/02/2013,NA,NA,0.15%
1/03/2013,92,2.50%,0.15%
1/04/2013,NA,NA,0.18%
1/05/2013,NA,NA,0.18%
1/06/2013,92.5,2.39%,0.18%
1/07/2013,NA,NA,0.32%
1/08/2013,NA,NA,0.32%
1/09/2013,93.4,2.26%,0.32%
1/10/2013,NA,NA,0.25%
1/11/2013,NA,NA,0.25%
1/12/2013,94.1,2.65%,0.25%
1/01/2014,NA,NA,0.21%
1/02/2014,NA,NA,0.21%
1/03/2014,94.7,2.93%,0.21%
1/04/2014,NA,NA,0.21%
1/05/2014,NA,NA,0.21%
1/06/2014,95.3,3.11%,0.21%
1/07/2014,NA,NA,0.07%
1/08/2014,NA,NA,0.07%
1/09/2014,95.5,2.31%,0.07%
1/10/2014,NA,NA,0.07%
1/11/2014,NA,NA,0.07%
1/12/2014,95.7,1.72%,0.07%
1/01/2015,NA,NA,0.10%
1/02/2015,NA,NA,0.10%
1/03/2015,96,1.33%,0.10%
1/04/2015,NA,NA,0.28%
1/05/2015,NA,NA,0.28%
1/06/2015,96.8,1.51%,0.28%
1/07/2015,NA,NA,0.03%
1/08/2015,NA,NA,0.03%
1/09/2015,96.9,1.41%,0.03%
1/10/2015,NA,NA,0.14%
1/11/2015,NA,NA,0.14%
1/12/2015,97.3,1.69%,0.14%
1/01/2016,NA,NA,-0.03%
1/02/2016,NA,NA,-0.03%
1/03/2016,97.2,1.31%,-0.03%
1/04/2016,NA,NA,0.21%
1/05/2016,NA,NA,0.21%
1/06/2016,97.8,1.02%,0.21%
1/07/2016,NA,NA,0.14%
1/08/2016,NA,NA,0.14%
1/09/2016,98.2,1.39%,0.14%
1/10/2016,NA,NA,0.17%
1/11/2016,NA,NA,0.17%
1/12/2016,98.7,1.39%,0.17%
1/01/2017,NA,NA,0.20%
1/02/2017,NA,NA,0.20%
1/03/2017,99.3,2.13%,0.20%
1/04/2017,NA,NA,0.10%
1/05/2017,NA,NA,0.10%
1/06/2017,99.6,1.93%,0.10%
1/07/2017,NA,NA,0.13%
1/08/2017,NA,NA,0.13%
1/09/2017,100,1.83%,0.13%
1/10/2017,100.2,NA,0.20%
1/11/2017,100.7,NA,0.50%
1/12/2017,100.8,2.18%,0.10%
1/01/2018,100.9,NA,0.10%
1/02/2018,101,NA,0.10%
1/03/2018,101.1,1.83%,0.10%
1/04/2018,101.4,NA,0.30%
1/05/2018,101.7,NA,0.30%
1/06/2018,101.6,1.97%,-0.10%
1/07/2018,102,NA,0.39%
1/08/2018,101.9,NA,-0.10%
1/09/2018,102.1,2.10%,0.20%
1/10/2018,102.5,2.30%,0.39%
1/11/2018,102.3,1.59%,-0.20%
1/12/2018,102.2,1.39%,-0.10%
1/01/2019,102.1,1.19%,-0.10%
1/02/2019,102.6,1.58%,0.49%
1/03/2019,102.8,1.68%,0.19%
1/04/2019,103.2,1.78%,0.39%
1/05/2019,103.2,1.47%,0.00%
1/06/2019,103.1,1.48%,-0.10%
1/07/2019,103.5,1.47%,0.39%
1/08/2019,103.5,1.57%,0.00%
1/09/2019,103.7,1.57%,0.19%
1/10/2019,104.2,1.66%,0.48%
1/11/2019,104.1,1.76%,-0.10%
1/12/2019,104.5,2.25%,0.38%
1/01/2020,104.7,2.55%,0.19%
1/02/2020,104.7,2.05%,0.00%
1/03/2020,105.1,2.24%,0.38%
1/04/2020,103.3,0.10%,-1.71%
1/05/2020,103,-0.19%,-0.29%
1/06/2020,102.9,-0.19%,-0.10%
1/07/2020,104.3,0.77%,1.36%
1/08/2020,104.7,1.16%,0.38%
1/09/2020,104.1,0.39%,-0.57%
1/10/2020,104.7,0.48%,0.58%
1/11/2020,105,0.86%,0.29%
1/12/2020,105.1,0.57%,0.10%
1/01/2021,105.4,0.67%,0.29%
1/02/2021,105.3,0.57%,-0.09%
1/03/2021,105.5,0.38%,0.19%
1/04/2021,105.8,2.42%,0.28%
1/05/2021,106.1,3.01%,0.28%
1/06/2021,106.4,3.40%,0.28%
1/07/2021,106.6,2.21%,0.19%
1/08/2021,107,2.20%,0.38%
1/09/2021,107.3,3.07%,0.28%
1/10/2021,107.9,3.06%,0.56%
1/11/2021,108.4,3.24%,0.46%
1/12/2021,108.8,3.52%,0.37%
1/01/2022,109.6,3.98%,0.74%
1/02/2022,110.5,4.94%,0.82%
1/03/2022,111.5,5.69%,0.90%
1/04/2022,111.6,5.48%,0.09%
1/05/2022,112.6,6.13%,0.90%
1/06/2022,113.5,6.67%,0.80%
1/07/2022,114.1,7.04%,0.53%
1/08/2022,114.4,6.92%,0.26%
1/09/2022,115.1,7.27%,0.61%
1/10/2022,115.3,6.86%,0.17%
1/11/2022,116.4,7.38%,0.95%
