Grade,Classification,Jurisdiction,13/06/2015,13/06/2016,13/06/2017,13/06/2018,13/06/2019,13/06/2020,13/06/2021,13/06/2022,12/01/2023,13/06/2023
1.1,Junior Officer,WA,"47,737","48,930","49,930","50,930","51,930","52,930","53,930","57,050","60,050","60,070"
1.2,Junior Officer,WA,"50,480","51,742","52,742","53,742","54,742","55,742","56,742","59,862","62,862","62,882"
1.3,Junior Officer,WA,"53,364","54,698","55,698","56,698","57,698","58,698","59,698","62,818","65,818","65,838"
1.4,Junior Officer,WA,"55,977","57,376","58,376","59,376","60,376","61,376","62,376","65,496","68,496","68,516"
2.1,Junior Officer,WA,"57,729","59,172","60,172","61,172","62,172","63,172","64,172","67,292","70,292","70,312"
2.2,Junior Officer,WA,"59,299","60,781","61,781","62,781","63,781","64,781","65,781","68,901","71,901","71,921"
2.3,Junior Officer,WA,"60,958","62,482","63,482","64,482","65,482","66,482","67,482","70,602","73,602","73,622"
2.4,Junior Officer,WA,"62,689","64,256","65,256","66,256","67,256","68,256","69,256","72,376","75,376","75,396"
3.1,Junior Officer,WA,"66,240","67,896","68,896","69,896","70,896","71,896","72,896","76,016","79,016","79,036"
3.2,Junior Officer,WA,"68,079","69,781","70,781","71,781","72,781","73,781","74,781","77,901","80,901","80,921"
3.3,Junior Officer,WA,"69,974","71,723","72,723","73,723","74,723","75,723","76,723","79,843","82,843","82,863"
3.4,Junior Officer,WA,"71,919","73,717","74,717","75,717","76,717","77,717","78,717","81,837","84,837","84,857"
4.1,Officer,WA,"74,587","76,452","77,452","78,452","79,452","80,452","81,452","84,572","87,572","87,592"
4.2,Officer,WA,"76,676","78,593","79,593","80,593","81,593","82,593","83,593","86,713","89,713","89,733"
4.3,Officer,WA,"78,826","80,797","81,797","82,797","83,797","84,797","85,797","88,917","91,917","91,937"
5.1,Officer,WA,"82,973","85,047","86,047","87,047","88,047","89,047","90,047","93,167","96,167","96,187"
5.2,Officer,WA,"85,771","87,915","88,915","89,915","90,915","91,915","92,915","96,035","99,035","99,055"
5.3,Officer,WA,"88,679","90,896","91,896","92,896","93,896","94,896","95,896","99,016","102,016","102,036"
5.4,Officer,WA,"91,701","93,994","94,994","95,994","96,994","97,994","98,994","102,114","105,114","105,134"
6.1,Senior Officer,WA,"96,552","98,966","99,966","100,966","101,966","102,966","103,966","107,086","110,086","110,299"
6.2,Senior Officer,WA,"99,854","102,350","103,350","104,350","105,350","106,350","107,350","110,571","113,571","113,888"
6.3,Senior Officer,WA,"103,271","105,853","106,853","107,853","108,853","109,853","110,853","114,179","117,179","117,604"
6.4,Senior Officer,WA,"106,917","109,590","110,590","111,590","112,590","113,590","114,590","118,028","121,028","121,569"
7.1,Principal Officer,WA,"112,902","115,725","116,725","117,725","118,725","119,725","120,725","124,347","127,347","128,077"
7.2,Principal Officer,WA,"116,781","119,701","120,701","121,701","122,701","123,701","124,701","128,442","131,442","132,295"
7.3,Principal Officer,WA,"121,008","124,033","125,033","126,033","127,033","128,033","129,033","132,904","135,904","136,891"
8.1,Manager,WA,"128,094","131,296","132,296","133,296","134,296","135,296","136,296","140,385","143,385","144,597"
8.2,Manager,WA,"133,022","136,348","137,348","138,348","139,348","140,348","141,348","145,588","148,588","149,956"
8.3,Manager,WA,"139,131","142,609","143,609","144,609","145,609","146,609","147,609","152,037","155,037","156,598"
9.1,Executive,WA,"147,014","150,689","151,689","152,689","153,689","154,689","155,689","160,360","163,360","165,171"
9.2,Executive,WA,"152,177","155,981","156,981","157,981","158,981","159,981","160,981","165,810","168,810","170,784"
9.3,Executive,WA,"158,063","162,015","163,015","164,015","165,015","166,015","167,015","172,025","175,025","177,186"
10.1,Executive,WA,"167,257","171,438","172,438","173,438","174,438","175,438","176,438","181,731","184,731","187,183"
10.2,Executive,WA,"176,183","180,588","181,588","182,588","183,588","184,588","185,588","191,156","194,156","196,891"
10.3,Executive,WA,"185,098","189,725","190,725","191,725","192,725","193,725","194,725","200,567","203,567","206,584"
10.4,Executive,WA,"194,019","198,869","199,869","200,869","201,869","202,869","203,869","209,985","212,985","216,285"
